Name,Age,Since,Current Position
Eric Schmidt,61,2015,Executive Chairman of the Board of Director
Sergey Brin,43,2015,President, Director
Lawrence Page,44,2015,Chief Executive Officer, Director
Ruth Porat,59,2015,Chief Financial Officer, Senior Vice President
Sundar Pichai,45,2017,Director, Chief Executive Officer, Google Inc.
David Drummond,54,2015,Senior Vice President - Corporate Development, Chief Legal Officer, Secretary
John Hennessy,65,2007,Lead Independent Director
Diane Greene,61,2015,Director
L. John Doerr,65,2016,Independent Director
Roger Ferguson,65,2016,Independent Director
Ann Mather,57,2005,Independent Director
Alan Mulally,71,2014,Independent Director
Paul Otellini,66,2004,Independent Director
Kavitark Shriram,60,1998,Independent Director
Shirley Tilghman,70,2005,Independent Director
